Organism_Name,Organism_Groups,Size(Mb),Chromosomes,Organelles,Plasmids,Assemblies
Amborella trichopoda,Eukaryota;Plants;Land Plants,706.495,0,1,0,1
Ananas comosus,Eukaryota;Plants;Land Plants,382.056,25,1,0,2
Apostasia shenzhenica,Eukaryota;Plants;Land Plants,348.733,0,0,0,1
Aquilegia coerulea,Eukaryota;Plants;Land Plants,301.98,0,0,0,1
Asparagus officinalis,Eukaryota;Plants;Land Plants,1187.54,10,0,0,1
Berberis thunbergii,Eukaryota;Plants;Land Plants,2240.74,0,0,0,1
Carica papaya,Eukaryota;Plants;Land Plants,370.419,0,2,0,2
Cephalotus follicularis,Eukaryota;Plants;Land Plants,1614.52,0,0,0,1
Cinnamomum micranthum,Eukaryota;Plants;Land Plants,730.416,0,0,0,1
Datisca glomerata,Eukaryota;Plants;Land Plants,688.404,0,0,0,1
Dendrobium officinale,Eukaryota;Plants;Land Plants,1008.68,0,1,0,1
Drosera capensis,Eukaryota;Plants;Land Plants,263.788,0,0,0,1
Eichhornia paniculata,Eukaryota;Plants;Land Plants,571.388,0,0,0,1
Ensete ventricosum,Eukaryota;Plants;Land Plants,451.284,0,0,0,4
Eschscholzia californica,Eukaryota;Plants;Land Plants,489.065,0,0,0,1
Gastrodia elata,Eukaryota;Plants;Land Plants,1060.98,0,0,0,1
Genlisea aurea,Eukaryota;Plants;Land Plants,43.3578,0,0,0,1
Kalanchoe fedtschenkoi,Eukaryota;Plants;Land Plants,256.351,0,0,0,1
Liriodendron chinense,Eukaryota;Plants;Land Plants,1561.05,0,0,0,1
Macadamia integrifolia,Eukaryota;Plants;Land Plants,518.49,0,0,0,1
Macleaya cordata,Eukaryota;Plants;Land Plants,377.834,0,0,0,1
Marchantia polymorpha,Eukaryota;Plants;Land Plants,225.761,0,0,0,2
Musa acuminata,Eukaryota;Plants;Land Plants,472.231,11,0,0,1
Musa itinerans,Eukaryota;Plants;Land Plants,455.349,0,0,0,1
Nelumbo nucifera,Eukaryota;Plants;Land Plants,804.648,0,1,0,4
Papaver somniferum,Eukaryota;Plants;Land Plants,2715.38,11,0,0,1
Persea americana,Eukaryota;Plants;Land Plants,446.756,0,0,0,1
Phoenix dactylifera,Eukaryota;Plants;Land Plants,556.481,0,2,0,2
Physcomitrella patens,Eukaryota;Plants;Land Plants,472.081,27,2,0,1
Picea abies,Eukaryota;Plants;Land Plants,0,0,0,0,0
Picea glauca,Eukaryota;Plants;Land Plants,24633.1,0,1,0,3
Pinus lambertiana,Eukaryota;Plants;Land Plants,27602.7,0,0,0,1
Pinus sylvestris,Eukaryota;Plants;Land Plants,0.985624,0,0,0,1
Pinus taeda,Eukaryota;Plants;Land Plants,22103.6,0,0,0,1
Pseudotsuga menziesii,Eukaryota;Plants;Land Plants,14673.2,0,0,0,1
Quillaja saponaria,Eukaryota;Plants;Land Plants,248.908,0,0,0,1
Santalum album,Eukaryota;Plants;Land Plants,196.101,0,0,0,2
Selaginella kraussiana,Eukaryota;Plants;Land Plants,114.503,0,0,0,1
Selaginella moellendorffii,Eukaryota;Plants;Land Plants,212.315,0,0,0,1
Selaginella tamariscina,Eukaryota;Plants;Land Plants,300.729,0,0,0,1
Spirodela polyrhiza,Eukaryota;Plants;Land Plants,136.67,20,0,0,3
Vitis aestivalis,Eukaryota;Plants;Land Plants,432.755,0,0,0,1
Vitis cinerea x Vitis riparia,Eukaryota;Plants;Land Plants,539.624,0,0,0,1
Xerophyta viscosa,Eukaryota;Plants;Land Plants,295.462,0,0,0,1
Zostera marina,Eukaryota;Plants;Land Plants,203.914,0,0,0,1
Actinidia chinensis,Eukaryota;Plants;Land Plants,553.842,29,0,0,2
Aegilops tauschii,Eukaryota;Plants;Land Plants,4327.32,0,1,0,4
Aethionema arabicum,Eukaryota;Plants;Land Plants,192.488,0,0,0,1
Alnus glutinosa,Eukaryota;Plants;Land Plants,611.874,0,0,0,1
Amaranthus hypochondriacus,Eukaryota;Plants;Land Plants,502.148,0,0,0,1
Amaranthus tuberculatus,Eukaryota;Plants;Land Plants,4.34798,0,0,0,1
Aquilaria agallochum,Eukaryota;Plants;Land Plants,726.71,0,0,0,1
Arabidopsis halleri,Eukaryota;Plants;Land Plants,196.243,0,0,0,3
Arabidopsis lyrata,Eukaryota;Plants;Land Plants,206.823,0,1,0,3
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,119.669,5,2,0,15
Arabis alpina,Eukaryota;Plants;Land Plants,311.642,8,0,0,3
Arabis montbretiana,Eukaryota;Plants;Land Plants,199.12,0,0,0,1
Arabis nordmanniana,Eukaryota;Plants;Land Plants,342.307,0,0,0,1
Arachis duranensis,Eukaryota;Plants;Land Plants,1084.26,10,0,0,2
Arachis hypogaea,Eukaryota;Plants;Land Plants,2538.44,20,1,0,1
Arachis ipaensis,Eukaryota;Plants;Land Plants,1353.5,10,0,0,1
Arachis monticola,Eukaryota;Plants;Land Plants,2618.65,20,0,0,1
Argania spinosa,Eukaryota;Plants;Land Plants,670.097,0,0,0,1
Artemisia annua,Eukaryota;Plants;Land Plants,1792.86,0,0,0,1
Artocarpus camansi,Eukaryota;Plants;Land Plants,631.308,0,0,0,1
Asclepias syriaca,Eukaryota;Plants;Land Plants,236.77,0,0,0,1
Atalantia buxifolia,Eukaryota;Plants;Land Plants,315.806,0,0,0,1
Avena sativa,Eukaryota;Plants;Land Plants,67.3266,0,0,0,1
Azadirachta indica,Eukaryota;Plants;Land Plants,261.458,0,0,0,1
Barbarea vulgaris,Eukaryota;Plants;Land Plants,167.352,0,0,0,1
Begonia fuchsioides,Eukaryota;Plants;Land Plants,373.914,0,0,0,1
Beta vulgaris,Eukaryota;Plants;Land Plants,566.55,9,1,0,9
Betula nana,Eukaryota;Plants;Land Plants,564.011,0,0,0,1
Betula pendula,Eukaryota;Plants;Land Plants,435.915,0,2,0,1
Boechera stricta,Eukaryota;Plants;Land Plants,188.795,0,0,0,1
Boehmeria nivea,Eukaryota;Plants;Land Plants,344.617,0,0,0,2
Brachypodium distachyon,Eukaryota;Plants;Land Plants,271.299,5,1,0,4
Brassica cretica,Eukaryota;Plants;Land Plants,412.521,0,0,0,4
Brassica juncea,Eukaryota;Plants;Land Plants,954.861,18,0,0,1
Brassica napus,Eukaryota;Plants;Land Plants,976.191,19,2,1,2
Brassica nigra,Eukaryota;Plants;Land Plants,402.145,8,0,0,1
Brassica oleracea,Eukaryota;Plants;Land Plants,488.954,9,1,0,3
Brassica rapa,Eukaryota;Plants;Land Plants,401.927,10,1,0,2
Cajanus cajan,Eukaryota;Plants;Land Plants,592.971,11,1,0,2
Calamus simplicifolius,Eukaryota;Plants;Land Plants,1960.81,0,0,0,1
Camelina sativa,Eukaryota;Plants;Land Plants,641.356,20,0,0,2
Cannabis sativa,Eukaryota;Plants;Land Plants,585.824,0,0,0,6
Capsella bursa-pastoris,Eukaryota;Plants;Land Plants,268.431,0,0,0,1
Capsella rubella,Eukaryota;Plants;Land Plants,133.064,0,0,0,1
Capsicum annuum,Eukaryota;Plants;Land Plants,2935.88,12,2,0,4
Capsicum baccatum,Eukaryota;Plants;Land Plants,3215.61,12,0,0,1
Capsicum chinense,Eukaryota;Plants;Land Plants,3070.91,12,0,0,1
Carnegiea gigantea,Eukaryota;Plants;Land Plants,980.351,0,0,0,1
Carthamus tinctorius,Eukaryota;Plants;Land Plants,661.938,0,0,0,1
Castanea mollissima,Eukaryota;Plants;Land Plants,833.241,0,0,0,1
Casuarina glauca,Eukaryota;Plants;Land Plants,282.811,0,0,0,1
Catharanthus roseus,Eukaryota;Plants;Land Plants,522.654,0,0,0,3
Cercis canadensis,Eukaryota;Plants;Land Plants,329.325,0,0,0,1
Chamaecrista fasciculata,Eukaryota;Plants;Land Plants,429.103,0,0,0,1
Chenopodium pallidicaule,Eukaryota;Plants;Land Plants,337.011,0,0,0,1
Chenopodium quinoa,Eukaryota;Plants;Land Plants,1333.55,0,1,0,3
Chenopodium suecicum,Eukaryota;Plants;Land Plants,536.949,0,0,0,1
Cicer arietinum,Eukaryota;Plants;Land Plants,530.894,8,1,0,3
Cicer echinospermum,Eukaryota;Plants;Land Plants,644.721,0,0,0,1
Cicer reticulatum,Eukaryota;Plants;Land Plants,715.407,0,0,0,1
Cissus quadrangularis,Eukaryota;Plants;Land Plants,281.704,0,0,0,1
Citrullus lanatus,Eukaryota;Plants;Land Plants,321.047,0,0,0,1
Citrus cavaleriei,Eukaryota;Plants;Land Plants,357.621,0,0,0,1
Citrus clementina,Eukaryota;Plants;Land Plants,301.365,0,0,0,1
Citrus maxima,Eukaryota;Plants;Land Plants,345.757,9,0,0,1
Citrus medica,Eukaryota;Plants;Land Plants,406.058,0,0,0,1
Citrus reticulata,Eukaryota;Plants;Land Plants,344.273,0,0,0,1
Citrus sinensis,Eukaryota;Plants;Land Plants,327.83,9,1,0,2
Citrus unshiu,Eukaryota;Plants;Land Plants,359.652,0,0,0,2
Citrus x paradisi x Citrus trifoliata,Eukaryota;Plants;Land Plants,265.534,0,0,0,1
Conringia planisiliqua,Eukaryota;Plants;Land Plants,184.156,0,0,0,1
Corchorus capsularis,Eukaryota;Plants;Land Plants,317.178,0,0,0,1
Corchorus olitorius,Eukaryota;Plants;Land Plants,334.912,0,0,0,2
Cucumis melo,Eukaryota;Plants;Land Plants,374.928,0,1,0,1
Cucumis sativus,Eukaryota;Plants;Land Plants,195.669,7,4,0,3
Cucurbita maxima,Eukaryota;Plants;Land Plants,271.413,0,0,0,1
Cucurbita moschata,Eukaryota;Plants;Land Plants,269.943,0,0,0,1
Cucurbita pepo,Eukaryota;Plants;Land Plants,261.355,20,1,0,1
Cuscuta australis,Eukaryota;Plants;Land Plants,262.63,0,0,0,1
Cuscuta campestris,Eukaryota;Plants;Land Plants,476.792,0,0,0,1
Dactylis glomerata,Eukaryota;Plants;Land Plants,839.915,0,0,0,1
Daucus carota,Eukaryota;Plants;Land Plants,421.539,9,3,0,1
Dianthus caryophyllus,Eukaryota;Plants;Land Plants,567.662,0,0,0,1
Dichanthelium oligosanthes,Eukaryota;Plants;Land Plants,589.166,0,0,0,1
Dioscorea alata,Eukaryota;Plants;Land Plants,620.909,0,0,0,1
Dioscorea rotundata,Eukaryota;Plants;Land Plants,456.675,21,0,0,4
Diospyros lotus,Eukaryota;Plants;Land Plants,1.10419,0,0,0,1
Dorcoceras hygrometricum,Eukaryota;Plants;Land Plants,1521.36,0,0,0,1
Dryas drummondii,Eukaryota;Plants;Land Plants,225.547,0,0,0,1
Durio zibethinus,Eukaryota;Plants;Land Plants,715.23,0,0,0,1
Echinochloa crus-galli,Eukaryota;Plants;Land Plants,1486.61,0,0,0,1
Echium plantagineum,Eukaryota;Plants;Land Plants,348.921,0,0,0,1
Elaeis guineensis,Eukaryota;Plants;Land Plants,1535.18,16,1,0,3
Elaeis oleifera,Eukaryota;Plants;Land Plants,1402.73,0,0,0,2
Eleusine coracana,Eukaryota;Plants;Land Plants,1195.99,0,0,0,1
Embelia ribes,Eukaryota;Plants;Land Plants,660.51,0,0,0,1
Eragrostis tef,Eukaryota;Plants;Land Plants,607.318,0,0,0,1
Erigeron canadensis,Eukaryota;Plants;Land Plants,326.165,0,0,0,1
Erythranthe guttata,Eukaryota;Plants;Land Plants,322.167,0,1,0,1
Eucalyptus camaldulensis,Eukaryota;Plants;Land Plants,654.922,0,0,0,1
Eucalyptus grandis,Eukaryota;Plants;Land Plants,691.43,0,1,0,1
Euclidium syriacum,Eukaryota;Plants;Land Plants,229.211,0,0,0,1
Euphorbia esula,Eukaryota;Plants;Land Plants,1124.89,0,0,0,2
Eutrema heterophyllum,Eukaryota;Plants;Land Plants,348.971,0,0,0,1
Eutrema salsugineum,Eukaryota;Plants;Land Plants,243.11,0,0,0,2
Eutrema yunnanense,Eukaryota;Plants;Land Plants,415.364,0,0,0,1
Fagopyrum esculentum,Eukaryota;Plants;Land Plants,1177.69,0,0,0,1
Fagopyrum tataricum,Eukaryota;Plants;Land Plants,505.883,8,0,0,2
Fagus sylvatica,Eukaryota;Plants;Land Plants,428.2,0,0,0,1
Ficus carica,Eukaryota;Plants;Land Plants,247.091,0,0,0,1
Fragaria iinumae,Eukaryota;Plants;Land Plants,199.628,0,0,0,1
Fragaria nipponica,Eukaryota;Plants;Land Plants,206.415,0,0,0,1
Fragaria nubicola,Eukaryota;Plants;Land Plants,203.686,0,0,0,1
Fragaria orientalis,Eukaryota;Plants;Land Plants,214.184,0,0,0,1
Fragaria vesca,Eukaryota;Plants;Land Plants,214.373,7,1,0,1
Fragaria x ananassa,Eukaryota;Plants;Land Plants,697.762,0,0,0,2
Fraxinus excelsior,Eukaryota;Plants;Land Plants,867.455,0,0,0,1
Geum urbanum,Eukaryota;Plants;Land Plants,1217.04,0,0,0,1
Glycine max,Eukaryota;Plants;Land Plants,979.046,26,2,0,4
Glycine soja,Eukaryota;Plants;Land Plants,985.26,20,0,0,2
Gossypioides kirkii,Eukaryota;Plants;Land Plants,528.715,12,0,0,1
Gossypium arboreum,Eukaryota;Plants;Land Plants,1694.6,13,1,0,2
Gossypium barbadense,Eukaryota;Plants;Land Plants,2566.74,0,0,0,3
Gossypium hirsutum,Eukaryota;Plants;Land Plants,2189.14,26,2,0,2
Gossypium raimondii,Eukaryota;Plants;Land Plants,761.565,13,1,0,2
Handroanthus impetiginosus,Eukaryota;Plants;Land Plants,503.289,0,0,0,1
Helianthus annuus,Eukaryota;Plants;Land Plants,3027.84,17,4,0,1
Herrania umbratica,Eukaryota;Plants;Land Plants,234.039,0,0,0,1
Hevea brasiliensis,Eukaryota;Plants;Land Plants,1373.53,0,1,0,4
Hibiscus syriacus,Eukaryota;Plants;Land Plants,1748.25,0,0,0,1
Hordeum bulbosum,Eukaryota;Plants;Land Plants,1294.87,0,0,0,1
Hordeum pubiflorum,Eukaryota;Plants;Land Plants,1425.27,0,0,0,1
Hordeum vulgare,Eukaryota;Plants;Land Plants,9788.86,0,0,0,9
Humulus lupulus,Eukaryota;Plants;Land Plants,2049.21,0,0,0,2
Ipomoea batatas,Eukaryota;Plants;Land Plants,837.013,15,0,0,2
Ipomoea nil,Eukaryota;Plants;Land Plants,735.231,0,2,0,1
Ipomoea trifida,Eukaryota;Plants;Land Plants,512.991,0,0,0,3
Ipomoea triloba,Eukaryota;Plants;Land Plants,461.827,16,0,0,1
Jatropha curcas,Eukaryota;Plants;Land Plants,318.527,0,1,0,2
Juglans cathayensis,Eukaryota;Plants;Land Plants,600.151,0,0,0,1
Juglans hindsii,Eukaryota;Plants;Land Plants,611.109,0,0,0,1
Juglans mandshurica,Eukaryota;Plants;Land Plants,558.071,0,0,0,1
Juglans microcarpa,Eukaryota;Plants;Land Plants,913.972,0,0,0,1
Juglans nigra,Eukaryota;Plants;Land Plants,620.767,0,0,0,2
Juglans regia,Eukaryota;Plants;Land Plants,699.673,0,0,0,3
Juglans sigillata,Eukaryota;Plants;Land Plants,648.117,0,0,0,1
Kokia drynarioides,Eukaryota;Plants;Land Plants,517.43,0,0,0,1
Lactuca sativa,Eukaryota;Plants;Land Plants,2384.19,0,1,0,4
Lagenaria siceraria,Eukaryota;Plants;Land Plants,313.387,0,0,0,3
Leavenworthia alabamica,Eukaryota;Plants;Land Plants,173.432,0,0,0,1
Leersia perrieri,Eukaryota;Plants;Land Plants,266.688,12,0,0,1
Linum usitatissimum,Eukaryota;Plants;Land Plants,316.167,15,0,0,1
Lolium perenne,Eukaryota;Plants;Land Plants,481.479,0,0,0,1
Lophocereus schottii,Eukaryota;Plants;Land Plants,797.926,0,0,0,1
Lotus japonicus,Eukaryota;Plants;Land Plants,394.455,0,0,0,1
Lupinus angustifolius,Eukaryota;Plants;Land Plants,609.203,20,0,0,3
Magnolia ashei,Eukaryota;Plants;Land Plants,284.512,0,0,0,1
Manihot esculenta,Eukaryota;Plants;Land Plants,582.279,18,1,0,3
Medicago truncatula,Eukaryota;Plants;Land Plants,412.924,8,1,0,6
Mentha longifolia,Eukaryota;Plants;Land Plants,353.287,0,0,0,1
Metrosideros polymorpha,Eukaryota;Plants;Land Plants,304.366,0,0,0,1
Mimosa pudica,Eukaryota;Plants;Land Plants,557.202,0,0,0,1
Miscanthus sacchariflorus,Eukaryota;Plants;Land Plants,2074.92,19,0,0,1
Momordica charantia,Eukaryota;Plants;Land Plants,285.614,0,0,0,2
Monotropa hypopitys,Eukaryota;Plants;Land Plants,2197.49,0,0,0,1
Morus notabilis,Eukaryota;Plants;Land Plants,320.379,0,0,0,1
Mucuna pruriens,Eukaryota;Plants;Land Plants,397.042,0,0,0,1
Nicotiana attenuata,Eukaryota;Plants;Land Plants,2365.68,12,0,0,2
Nicotiana benthamiana,Eukaryota;Plants;Land Plants,61.9511,0,0,0,1
Nicotiana glauca,Eukaryota;Plants;Land Plants,3222.83,0,0,0,1
Nicotiana obtusifolia,Eukaryota;Plants;Land Plants,1222.77,0,0,0,1
Nicotiana otophora,Eukaryota;Plants;Land Plants,2689.35,0,0,0,1
Nicotiana sylvestris,Eukaryota;Plants;Land Plants,2221.99,0,1,0,1
Nicotiana tabacum,Eukaryota;Plants;Land Plants,3643.47,0,2,0,4
Nicotiana tomentosiformis,Eukaryota;Plants;Land Plants,1688.47,0,1,0,1
Nissolia schottii,Eukaryota;Plants;Land Plants,466.099,0,0,0,1
Nothapodytes nimmoniana,Eukaryota;Plants;Land Plants,1.36527,0,0,0,1
Ochetophila trinervis,Eukaryota;Plants;Land Plants,309.116,0,0,0,1
Ocimum tenuiflorum,Eukaryota;Plants;Land Plants,332.617,0,0,0,2
Olea europaea,Eukaryota;Plants;Land Plants,1141.15,23,1,0,1
Oropetium thomaeum,Eukaryota;Plants;Land Plants,243.175,0,0,0,1
Oryza barthii,Eukaryota;Plants;Land Plants,308.272,12,0,0,4
Oryza brachyantha,Eukaryota;Plants;Land Plants,259.908,12,0,0,2
Oryza glaberrima,Eukaryota;Plants;Land Plants,303.295,0,0,0,1
Oryza glumipatula,Eukaryota;Plants;Land Plants,372.86,12,0,0,1
Oryza longistaminata,Eukaryota;Plants;Land Plants,362.064,12,0,0,2
Oryza meridionalis,Eukaryota;Plants;Land Plants,335.668,12,0,0,2
Oryza meyeriana var. granulata,Eukaryota;Plants;Land Plants,35.2457,0,0,0,1
Oryza minuta,Eukaryota;Plants;Land Plants,45.1659,2,0,0,1
Oryza officinalis,Eukaryota;Plants;Land Plants,26.1885,1,0,0,1
Oryza punctata,Eukaryota;Plants;Land Plants,393.817,12,0,0,2
Oryza rufipogon,Eukaryota;Plants;Land Plants,339.177,0,0,0,3
Oryza sativa,Eukaryota;Plants;Land Plants,374.423,12,0,0,23
Oryza sativa f. spontanea,Eukaryota;Plants;Land Plants,337.95,12,0,0,2
Pachycereus pringlei,Eukaryota;Plants;Land Plants,629.656,0,0,0,1
Panicum hallii,Eukaryota;Plants;Land Plants,535.889,9,0,0,2
Panicum miliaceum,Eukaryota;Plants;Land Plants,848.352,18,0,0,2
Parasponia andersonii,Eukaryota;Plants;Land Plants,475.834,0,0,0,1
Passiflora edulis,Eukaryota;Plants;Land Plants,165.657,0,0,0,1
Penstemon barbatus,Eukaryota;Plants;Land Plants,696.306,0,0,0,1
Penstemon centranthifolius,Eukaryota;Plants;Land Plants,4.47159,0,0,0,1
Penstemon cyananthus,Eukaryota;Plants;Land Plants,4.62226,0,0,0,1
Penstemon davidsonii,Eukaryota;Plants;Land Plants,2.37523,0,0,0,1
Penstemon dissectus,Eukaryota;Plants;Land Plants,2.62809,0,0,0,1
Penstemon fruticosus,Eukaryota;Plants;Land Plants,2.31904,0,0,0,1
Penstemon grinnellii,Eukaryota;Plants;Land Plants,3.66352,0,0,0,1
Pereskia humboldtii,Eukaryota;Plants;Land Plants,414.047,0,0,0,1
Phalaenopsis aphrodite,Eukaryota;Plants;Land Plants,1025.1,0,0,0,1
Phalaenopsis equestris,Eukaryota;Plants;Land Plants,1064.2,0,1,0,1
Phalaenopsis hybrid cultivar,Eukaryota;Plants;Land Plants,2687.66,0,0,0,1
Phaseolus coccineus,Eukaryota;Plants;Land Plants,371.086,0,0,0,1
Phaseolus vulgaris,Eukaryota;Plants;Land Plants,521.077,11,0,0,2
Pisum sativum,Eukaryota;Plants;Land Plants,4275.93,0,0,0,1
Populus euphratica,Eukaryota;Plants;Land Plants,496.033,0,1,0,1
Populus trichocarpa,Eukaryota;Plants;Land Plants,434.29,19,1,0,1
Primula veris,Eukaryota;Plants;Land Plants,309.693,0,0,0,1
Primula vulgaris,Eukaryota;Plants;Land Plants,1.50478,0,0,0,2
Psidium guajava,Eukaryota;Plants;Land Plants,386.852,0,0,0,1
Pterocarya stenoptera,Eukaryota;Plants;Land Plants,955.601,0,0,0,1
Punica granatum,Eukaryota;Plants;Land Plants,296.383,0,0,0,3
Purshia tridentata,Eukaryota;Plants;Land Plants,175.971,0,0,0,1
Pyrus x bretschneideri,Eukaryota;Plants;Land Plants,508.551,0,0,0,1
Quercus lobata,Eukaryota;Plants;Land Plants,759.241,0,0,0,1
Quercus robur,Eukaryota;Plants;Land Plants,814.336,0,0,0,2
Quercus suber,Eukaryota;Plants;Land Plants,953.299,0,0,0,1
Raphanus raphanistrum,Eukaryota;Plants;Land Plants,253.834,0,0,0,1
Raphanus sativus,Eukaryota;Plants;Land Plants,426.614,0,2,0,4
Rhazya stricta,Eukaryota;Plants;Land Plants,274.354,0,0,0,1
Rhizophora apiculata,Eukaryota;Plants;Land Plants,232.055,0,0,0,2
Ricinus communis,Eukaryota;Plants;Land Plants,350.622,0,1,0,1
Rosa chinensis,Eukaryota;Plants;Land Plants,513.854,7,2,0,1
Rosa multiflora,Eukaryota;Plants;Land Plants,739.638,0,0,0,1
Rosa x damascena,Eukaryota;Plants;Land Plants,711.72,0,0,0,1
Ruellia speciosa,Eukaryota;Plants;Land Plants,740.036,0,0,0,1
Saccharum hybrid cultivar,Eukaryota;Plants;Land Plants,530.66,0,0,0,2
Saccharum spontaneum,Eukaryota;Plants;Land Plants,3924.19,0,0,0,1
Schrenkiella parvula,Eukaryota;Plants;Land Plants,137.073,7,0,0,1
Secale cereale,Eukaryota;Plants;Land Plants,1684.93,0,0,0,2
Sesamum indicum,Eukaryota;Plants;Land Plants,275.059,16,1,0,4
Setaria italica,Eukaryota;Plants;Land Plants,405.868,9,1,0,2
Silene latifolia,Eukaryota;Plants;Land Plants,1185.09,0,0,0,3
Silybum marianum,Eukaryota;Plants;Land Plants,1477.57,0,0,0,1
Sisymbrium irio,Eukaryota;Plants;Land Plants,245.55,0,0,0,1
Solanum americanum,Eukaryota;Plants;Land Plants,9.01369,0,0,0,6
Solanum arcanum,Eukaryota;Plants;Land Plants,665.187,0,0,0,1
Solanum commersonii,Eukaryota;Plants;Land Plants,729.603,0,0,0,1
Solanum habrochaites,Eukaryota;Plants;Land Plants,724.285,0,0,0,1
Solanum lycopersicum,Eukaryota;Plants;Land Plants,828.349,12,2,0,5
Solanum melongena,Eukaryota;Plants;Land Plants,833.081,0,0,0,1
Solanum pennellii,Eukaryota;Plants;Land Plants,926.426,12,1,0,3
Solanum pimpinellifolium,Eukaryota;Plants;Land Plants,688.247,0,0,0,1
Solanum tuberosum,Eukaryota;Plants;Land Plants,705.934,0,1,0,2
Solanum verrucosum,Eukaryota;Plants;Land Plants,730.142,0,0,0,19
Spinacia oleracea,Eukaryota;Plants;Land Plants,869.946,0,1,0,2
Stenocereus thurberi,Eukaryota;Plants;Land Plants,853.348,0,0,0,1
Tarenaya hassleriana,Eukaryota;Plants;Land Plants,249.93,0,0,0,1
Theobroma cacao,Eukaryota;Plants;Land Plants,324.88,10,1,0,2
Thlaspi arvense,Eukaryota;Plants;Land Plants,343.012,0,0,0,1
Trema orientalis,Eukaryota;Plants;Land Plants,387.958,0,0,0,1
Trifolium medium,Eukaryota;Plants;Land Plants,492.653,0,0,0,1
Trifolium pratense,Eukaryota;Plants;Land Plants,345.991,7,0,0,2
Trifolium subterraneum,Eukaryota;Plants;Land Plants,471.834,0,0,0,2
Triticum aestivum,Eukaryota;Plants;Land Plants,14547.3,22,0,0,20
Triticum dicoccoides,Eukaryota;Plants;Land Plants,10495,14,0,0,16
Triticum urartu,Eukaryota;Plants;Land Plants,4851.9,7,0,0,2
Urochloa ruziziensis,Eukaryota;Plants;Land Plants,732.531,0,0,0,1
Utricularia gibba,Eukaryota;Plants;Land Plants,100.689,4,0,0,1
Vaccinium macrocarpon,Eukaryota;Plants;Land Plants,414.622,0,0,0,1
Vicia faba,Eukaryota;Plants;Land Plants,80.3627,0,0,0,1
Vigna angularis,Eukaryota;Plants;Land Plants,467.301,11,2,0,3
Vigna radiata,Eukaryota;Plants;Land Plants,463.638,11,2,0,3
Vigna unguiculata,Eukaryota;Plants;Land Plants,695.046,0,0,0,1
Viola pubescens,Eukaryota;Plants;Land Plants,318.366,0,0,0,1
Vitis vinifera,Eukaryota;Plants;Land Plants,486.197,19,2,0,5
Xanthoceras sorbifolium,Eukaryota;Plants;Land Plants,504.383,15,0,0,1
Zea mays,Eukaryota;Plants;Land Plants,2135.08,10,2,0,34
Zizania latifolia,Eukaryota;Plants;Land Plants,603.989,0,0,0,1
Ziziphus jujuba,Eukaryota;Plants;Land Plants,437.754,12,0,0,2
Zoysia japonica,Eukaryota;Plants;Land Plants,334.384,0,0,0,1
Zoysia matrella,Eukaryota;Plants;Land Plants,563.439,0,0,0,1
Zoysia pacifica,Eukaryota;Plants;Land Plants,397.01,0,0,0,1
Cenchrus americanus,Eukaryota;Plants;Land Plants,1816.95,7,0,0,1
Cynara cardunculus var. scolymus,Eukaryota;Plants;Land Plants,725.198,17,0,0,1
Malus domestica,Eukaryota;Plants;Land Plants,1874.77,17,1,0,2
Prunus avium,Eukaryota;Plants;Land Plants,272.362,0,0,0,1
Prunus mume,Eukaryota;Plants;Land Plants,234.03,8,1,0,1
Prunus persica,Eukaryota;Plants;Land Plants,227.569,8,1,0,4
Prunus yedoensis,Eukaryota;Plants;Land Plants,319.21,0,0,0,2
Sorghum bicolor,Eukaryota;Plants;Land Plants,709.345,10,2,0,5
